Product ID,Category,Sub-category,Product Name,Brand Name,Size,Color,Ratings
P0001,Women,Topwear,T-Shirts,Roadster,40,Black,4
P0002,Women,Topwear,T-Shirts,Roadster,40,Blue,5
P0003,Women,Topwear,T-Shirts,Roadster,42,White,3
P0004,Women,Topwear,T-Shirts,Roadster,44,Green,2
P0005,Women,Topwear,T-Shirts,Puma,38,Olive,5
P0006,Women,Topwear,T-Shirts,Puma,46,Pink,4
P0007,Women,Topwear,T-Shirts,Puma,38,Orange,3
P0008,Women,Topwear,T-Shirts,Puma,38,Beige,5
P0009,Women,Topwear,T-Shirts,Puma,38,Off white,4
P0010,Women,Topwear,T-Shirts,Puma,38,Purple,2
P0011,Women,Topwear,T-Shirts,Puma,38,Peach,5
P0012,Women,Topwear,T-Shirts,Puma,42,Sea Green,5
P0013,Women,Topwear,T-Shirts,Puma,42,Lavender,4
P0014,Women,Topwear,T-Shirts,Puma,42,Black,4
P0015,Women,Topwear,T-Shirts,Puma,42,Blue,4
P0016,Women,Topwear,T-Shirts,Puma,36,White,3
P0017,Women,Topwear,T-Shirts,Puma,36,Green,5
P0018,Women,Topwear,T-Shirts,Wrogn,36,Black,4
P0019,Women,Topwear,T-Shirts,Wrogn,36,Black,2
P0020,Women,Topwear,T-Shirts,Wrogn,40,Orange,5
P0021,Women,Topwear,T-Shirts,Wrogn,40,Beige,5
P0022,Women,Topwear,T-Shirts,Wrogn,40,Off white,5
P0023,Women,Topwear,T-Shirts,Wrogn,40,Purple,4
P0024,Women,Topwear,T-Shirts,Wrogn,42,Peach,4
P0025,Women,Topwear,T-Shirts,Wrogn,42,Sea Green,4
P0026,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,42,Lavender,5
P0027,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,42,Black,5
P0028,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Blue,3
P0029,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,White,5
P0030,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Green,5
P0031,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Olive,4
P0032,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Pink,3
P0033,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Orange,5
P0034,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Beige,4
P0035,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Off white,3
P0036,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,46,Purple,5
P0037,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Peach,5
P0038,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Sea Green,4
P0039,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Lavender,2
P0040,Women,Topwear,T-Shirts,HRX by Hrithik Roshan ,44,Lavender,3
P0041,Women,Topwear,T-Shirts,Adidas,44,Lavender,4
P0042,Women,Topwear,T-Shirts,Adidas,44,Lavender,5
P0043,Women,Topwear,T-Shirts,Adidas,44,Lavender,4
P0044,Women,Topwear,T-Shirts,Adidas,40,Lavender,4
P0045,Women,Topwear,T-Shirts,Adidas,40,Black,4
P0046,Women,Topwear,T-Shirts,Adidas,40,Black,3
P0047,Women,Topwear,T-Shirts,Adidas,40,Beige,2
P0048,Women,Topwear,T-Shirts,Adidas,38,Beige,5
P0049,Women,Topwear,T-Shirts,Adidas,38,Beige,4
P0050,Women,Topwear,T-Shirts,Adidas,38,Black,2
P0051,Women,Topwear,T-Shirts,Adidas,38,Blue,5
P0052,Women,Topwear,T-Shirts,Allen Solly,38,Black,5
P0053,Women,Topwear,T-Shirts,Allen Solly,38,Black,4
P0054,Women,Topwear,T-Shirts,Allen Solly,42,Blue,4
P0055,Women,Topwear,T-Shirts,Allen Solly,42,Blue,4
P0056,Women,Topwear,T-Shirts,Allen Solly,42,Blue,3
P0057,Men,Topwear,T-Shirts,Allen Solly,42,Blue,5
P0058,Women,Topwear,T-Shirts,Allen Solly,46,Black,4
P0059,Women,Topwear,T-Shirts,Allen Solly,46,Beige,2
P0060,Women,Topwear,T-Shirts,Allen Solly,46,Beige,5
P0061,Women,Topwear,T-Shirts,Allen Solly,44,Beige,5
P0062,Men,Topwear,T-Shirts,Allen Solly,44,Beige,5
P0063,Men,Topwear,Shirts,Allen Solly,44,Beige,4
P0064,Men,Topwear,Shirts,Allen Solly,36,Beige,4
P0065,Men,Topwear,Shirts,Allen Solly,36,Beige,4
P0066,Men,Topwear,Shirts,Allen Solly,36,White,5
P0067,Men,Topwear,Shirts,Allen Solly,38,White,5
P0068,Men,Topwear,Shirts,Allen Solly,40,White,3
P0069,Men,Topwear,Shirts,Allen Solly,42,White,5
P0070,Men,Topwear,Shirts,Allen Solly,44,White,5
P0071,Men,Topwear,Shirts,Allen Solly,38,White,4
P0072,Men,Topwear,Shirts,Allen Solly,46,Teal,3
P0073,Men,Topwear,Shirts,Allen Solly,38,Teal,4
P0074,Men,Topwear,Shirts,Allen Solly,38,Teal,5
P0075,Men,Topwear,Shirts,Allen Solly,38,Teal,3
P0076,Men,Topwear,Shirts,Allen Solly,38,White,2
P0077,Men,Topwear,Shirts,Allen Solly,38,Off white,5
P0078,Men,Topwear,Shirts,Allen Solly,42,Off white,4
P0079,Men,Topwear,Shirts,Allen Solly,42,Off white,3
P0080,Men,Topwear,Shirts,Allen Solly,42,Off white,5
P0081,Men,Topwear,Shirts,Allen Solly,42,Off white,4
P0082,Men,Topwear,Shirts,Allen Solly,36,Off white,2
P0083,Men,Topwear,Shirts,Allen Solly,36,Off white,5
P0084,Men,Topwear,Shirts,Allen Solly,36,Off white,5
P0085,Men,Topwear,Shirts,Allen Solly,36,Green,4
P0086,Men,Topwear,Shirts,Allen Solly,40,Green,4
P0087,Men,Topwear,Shirts,Allen Solly,40,Green,4
P0088,Men,Topwear,Shirts,Allen Solly,40,Sea Green,3
P0089,Men,Topwear,Shirts,Allen Solly,40,Sea Green,5
P0090,Men,Topwear,Shirts,Allen Solly,42,Sea Green,4
P0091,Men,Topwear,Shirts,Allen Solly,42,Peach,2
P0092,Men,Topwear,Shirts,Allen Solly,42,Peach,5
P0093,Men,Topwear,Shirts,Allen Solly,42,Peach,5
P0094,Men,Topwear,Shirts,Allen Solly,44,Peach,5
P0095,Men,Topwear,Shirts,Roadster,44,Peach,4
P0096,Men,Topwear,Shirts,Roadster,44,Sea Green,4
P0097,Men,Topwear,Shirts,Roadster,44,Sea Green,4
P0098,Men,Topwear,Shirts,Roadster,46,Sea Green,5
P0099,Men,Topwear,Shirts,Roadster,46,Brown,5
P0100,Men,Topwear,Shirts,Roadster,46,Brown,3
P0101,Men,Topwear,Shirts,Roadster,46,Brown,5
P0102,Men,Topwear,Shirts,Roadster,46,Brown,5
P0103,Men,Topwear,Shirts,Roadster,44,Brown,4
P0104,Men,Topwear,Shirts,Roadster,44,Black,3
P0105,Men,Topwear,Shirts,Roadster,44,Black,5
P0106,Men,Topwear,Shirts,Roadster,44,Black,4
P0107,Men,Topwear,Shirts,Roadster,44,Mustard,3
P0108,Men,Topwear,Shirts,Roadster,44,Mustard,5
P0109,Men,Topwear,Shirts,Roadster,44,Mustard,5
P0110,Men,Topwear,Shirts,Roadster,40,Mustard,4
P0111,Men,Topwear,Shirts,Roadster,40,Red,2
P0112,Men,Topwear,Shirts,Roadster,40,Red,3
P0113,Men,Topwear,Shirts,Roadster,40,Red,4
P0114,Men,Topwear,Shirts,Roadster,38,Red,5
P0115,Men,Topwear,Shirts,Roadster,38,Red,4
P0116,Men,Topwear,Shirts,Roadster,38,Pink,4
P0117,Men,Topwear,Shirts,Roadster,38,Pink,4
P0118,Men,Topwear,Shirts,Levis,38,Pink,3
P0119,Men,Topwear,Shirts,Levis,38,Red,2
P0120,Men,Topwear,Shirts,Levis,42,Orange,5
P0121,Men,Topwear,Shirts,Levis,42,Orange,4
P0122,Men,Topwear,Shirts,Levis,42,Pink,2
P0123,Men,Topwear,Shirts,Levis,42,Pink,5
P0124,Men,Topwear,Shirts,Levis,46,Pink,5
P0125,Men,Topwear,Shirts,Levis,46,Orange,4
P0126,Men,Topwear,Shirts,Levis,46,Teal,4
P0127,Men,Topwear,Shirts,Levis,44,Grey,4
P0128,Men,Topwear,Shirts,Levis,44,Grey,3
P0129,Men,Topwear,Shirts,Levis,44,Teal,5
P0130,Men,Topwear,Shirts,Levis,36,Teal,4
P0131,Men,Topwear,Shirts,Levis,36,Blue,2
P0132,Men,Topwear,Shirts,Levis,36,Black,5
P0133,Men,Topwear,Shirts,Levis,36,Black,5
P0134,Men,Topwear,Shirts,Levis,38,Black,5
P0135,Men,Topwear,Shirts,Levis,38,Blue,4
P0136,Men,Topwear,Shirts,Levis,38,Blue,4
P0137,Men,Topwear,Shirts,Levis,38,Blue,4
P0138,Men,Topwear,Shirts,Van Heusen,40,Blue,5
P0139,Men,Topwear,Shirts,Van Heusen,40,Blue,5
