Order ID,Customer ID,Product ID,Date,Original Price,Discount%
OD0001,C001,P0001,04-01-2021,349,0.3
OD0002,C002,P0001,12-06-2022,350,0.3
OD0003,C003,P0001,01-06-2022,351,0.3
OD0004,C004,P0001,29-07-2022,352,0.25
OD0005,C005,P0001,14-12-2022,353,0.25
OD0006,C006,P0002,02-12-2022,354,0.3
OD0007,C007,P0003,17-09-2021,355,0.3
OD0008,C008,P0004,19-04-2021,356,0.3
OD0009,C009,P0005,07-07-2022,2222,0.4
OD0010,C010,P0006,31-03-2022,2342,0.4
OD0011,C011,P0007,22-02-2021,2241,0.4
OD0012,C012,P0007,07-08-2022,2253,0.4
OD0013,C013,P0007,29-08-2022,2245,0.4
OD0014,C014,P0008,17-06-2022,2231,0.4
OD0015,C015,P0009,07-03-2023,2452,0.45
OD0016,C016,P0010,18-02-2021,2236,0.45
OD0017,C017,P0011,11-05-2021,2245,0.45
OD0018,C018,P0012,19-11-2022,2235,0.47
OD0019,C019,P0012,28-12-2022,2214,0.47
OD0020,C020,P0012,16-03-2021,2231,0.46
OD0021,C021,P0013,18-02-2021,2145,0.46
OD0022,C022,P0014,18-02-2023,2356,0.46
OD0023,C023,P0015,26-04-2021,2412,0.3
OD0024,C024,P0016,26-01-2023,2234,0.3
OD0025,C025,P0017,04-01-2021,2214,0.3
OD0026,C026,P0018,31-05-2022,999,0.3
OD0027,C027,P0019,11-11-2022,1119,0.3
OD0028,C028,P0020,24-08-2022,1119,0.35
OD0029,C029,P0021,10-03-2023,1119,0.35
OD0030,C030,P0022,25-01-2022,1119,0.35
OD0031,C031,P0023,17-07-2022,985,0.35
OD0032,C032,P0024,16-12-2021,985,0.35
OD0033,C033,P0024,04-03-2021,985,0.35
OD0034,C034,P0024,20-01-2022,985,0.4
OD0035,C035,P0025,13-03-2022,985,0.4
OD0036,C036,P0026,21-02-2022,369,0.15
OD0037,C037,P0027,31-03-2023,399,0.15
OD0038,C038,P0028,14-05-2022,399,0.15
OD0039,C039,P0029,03-02-2022,399,0.35
OD0040,C040,P0030,15-03-2021,399,0.35
OD0041,C041,P0031,06-06-2021,555,0.35
OD0042,C042,P0032,10-06-2021,555,0.35
OD0043,C043,P0033,28-08-2021,555,0.55
OD0044,C044,P0034,17-08-2022,555,0.55
OD0045,C045,P0035,07-12-2021,675,0.55
OD0046,C046,P0036,28-02-2022,675,0.55
OD0047,C047,P0037,12-04-2021,675,0.5
OD0048,C048,P0038,24-04-2021,654,0.5
OD0049,C049,P0038,19-02-2022,654,0.5
OD0050,C050,P0038,23-08-2022,654,0.5
OD0051,C051,P0039,17-07-2022,654,0.5
OD0052,C052,P0040,28-09-2021,356,0.3
OD0053,C053,P0041,12-10-2022,2235,0.32
OD0054,C054,P0042,25-12-2021,1125,0.25
OD0055,C055,P0043,30-10-2022,2451,0.45
OD0056,C056,P0044,24-02-2021,2263,0.15
OD0057,C057,P0045,24-11-2021,1365,0.33
OD0058,C058,P0046,23-09-2021,2453,0.42
OD0059,C059,P0047,11-12-2021,1555,0.42
OD0060,C060,P0048,31-03-2021,1234,0.39
OD0061,C061,P0049,01-01-2023,2344,0.39
OD0062,C062,P0050,03-10-2022,2142,0.39
OD0063,C063,P0051,09-09-2021,2612,0.39
OD0064,C064,P0051,22-07-2021,2243,0.3
OD0065,C065,P0051,09-01-2023,333,0.3
OD0066,C066,P0052,14-03-2023,236,0.3
OD0067,C067,P0053,08-12-2022,456,0.25
OD0068,C068,P0054,07-05-2021,963,0.25
OD0069,C069,P0055,27-09-2022,234,0.3
OD0070,C070,P0056,07-04-2021,456,0.3
OD0071,C071,P0057,02-02-2021,564,0.3
OD0072,C072,P0058,20-10-2022,634,0.4
OD0073,C073,P0059,01-12-2022,236,0.4
OD0074,C074,P0060,07-03-2021,444,0.4
OD0075,C075,P0060,17-10-2022,456,0.4
OD0076,C076,P0060,18-04-2021,963,0.4
OD0077,C077,P0060,17-03-2022,456,0.4
OD0078,C078,P0061,13-09-2022,1189,0.45
OD0079,C079,P0062,25-04-2022,1298,0.45
OD0080,C080,P0063,03-03-2023,1456,0.45
OD0081,C081,P0064,19-11-2021,1478,0.47
OD0082,C082,P0065,19-12-2021,256,0.47
OD0083,C083,P0066,31-01-2022,2698,0.46
OD0084,C084,P0067,26-04-2022,2364,0.46
OD0085,C085,P0068,01-01-2021,1236,0.46
OD0086,C086,P0069,06-04-2021,756,0.3
OD0087,C087,P0070,24-10-2021,326,0.3
OD0088,C088,P0071,10-01-2022,453,0.3
OD0089,C089,P0072,02-07-2022,326,0.3
OD0090,C090,P0073,20-12-2021,456,0.3
OD0091,C091,P0074,17-04-2022,675,0.35
OD0092,C092,P0075,01-11-2021,654,0.35
OD0093,C093,P0076,20-10-2022,654,0.35
OD0094,C094,P0077,29-10-2021,654,0.35
OD0095,C095,P0077,17-03-2023,654,0.35
OD0096,C096,P0077,28-08-2022,356,0.35
OD0097,C097,P0077,08-03-2023,686,0.4
OD0098,C098,P0077,22-06-2022,456,0.4
OD0099,C099,P0078,09-03-2022,516,0.15
OD0100,C100,P0079,29-03-2023,355,0.15
OD0101,C001,P0080,06-09-2021,465,0.15
OD0102,C002,P0081,17-11-2022,965,0.35
OD0103,C003,P0082,01-02-2021,1158,0.35
OD0104,C004,P0083,22-01-2021,264,0.35
OD0105,C005,P0084,20-12-2021,433,0.35
OD0106,C006,P0085,22-06-2021,562,0.55
OD0107,C007,P0086,03-02-2022,423,0.55
OD0108,C008,P0087,03-11-2021,621,0.55
OD0109,C009,P0088,26-03-2022,333,0.55
OD0110,C010,P0089,09-04-2021,236,0.5
OD0111,C011,P0090,27-03-2022,456,0.5
OD0112,C012,P0091,31-07-2022,963,0.5
OD0113,C013,P0092,23-03-2021,234,0.5
OD0114,C014,P0093,04-03-2021,456,0.5
OD0115,C015,P0094,06-03-2022,564,0.3
OD0116,C016,P0094,05-01-2023,634,0.32
OD0117,C017,P0094,29-12-2021,236,0.25
OD0118,C018,P0095,11-09-2022,444,0.45
OD0119,C019,P0096,30-08-2022,456,0.15
OD0120,C020,P0097,17-06-2022,963,0.33
OD0121,C021,P0098,12-03-2022,456,0.42
OD0122,C022,P0099,03-04-2021,1189,0.42
OD0123,C023,P0100,14-03-2022,1298,0.39
OD0124,C024,P0101,12-10-2021,1456,0.39
OD0125,C025,P0102,05-12-2021,1478,0.39
OD0126,C026,P0103,16-04-2022,256,0.39
OD0127,C027,P0104,08-05-2021,2698,0.3
OD0128,C028,P0105,10-07-2022,2364,0.3
OD0129,C029,P0106,30-10-2022,1236,0.3
OD0130,C030,P0107,27-08-2021,756,0.25
OD0131,C031,P0108,13-01-2022,326,0.25
OD0132,C032,P0108,16-09-2022,453,0.3
OD0133,C033,P0108,11-03-2023,326,0.3
OD0134,C034,P0108,05-03-2021,456,0.3
OD0135,C035,P0108,14-09-2022,675,0.4
OD0136,C036,P0109,17-09-2022,654,0.4
OD0137,C037,P0110,27-01-2021,654,0.4
OD0138,C038,P0111,19-04-2021,654,0.4
OD0139,C039,P0112,31-03-2022,654,0.4
OD0140,C040,P0113,22-08-2021,356,0.4
OD0141,C041,P0113,22-02-2021,686,0.45
OD0142,C042,P0113,18-04-2021,456,0.45
OD0143,C043,P0114,23-07-2021,516,0.45
OD0144,C044,P0115,16-04-2022,355,0.47
OD0145,C045,P0116,03-07-2022,465,0.47
OD0146,C046,P0117,22-08-2021,965,0.46
OD0147,C047,P0118,15-07-2022,1158,0.46
OD0148,C048,P0119,20-07-2021,264,0.46
OD0149,C049,P0120,09-06-2022,433,0.3
OD0150,C050,P0121,15-04-2022,562,0.3
OD0151,C051,P0122,06-08-2022,423,0.3
OD0152,C052,P0123,23-12-2022,621,0.3
OD0153,C053,P0124,05-06-2021,333,0.3
OD0154,C054,P0125,14-04-2022,236,0.35
OD0155,C055,P0126,27-10-2022,456,0.35
OD0156,C056,P0127,14-02-2021,963,0.35
OD0157,C057,P0128,13-08-2021,234,0.35
OD0158,C058,P0129,09-08-2021,456,0.35
OD0159,C059,P0130,13-01-2022,564,0.35
OD0160,C060,P0131,27-01-2022,634,0.4
OD0161,C061,P0132,07-06-2022,236,0.4
OD0162,C062,P0133,21-03-2022,444,0.15
OD0163,C063,P0134,27-11-2022,456,0.15
OD0164,C064,P0135,02-09-2021,963,0.15
OD0165,C065,P0136,07-04-2022,456,0.35
OD0166,C066,P0137,10-05-2022,1189,0.35
OD0167,C067,P0138,09-10-2021,1298,0.35
OD0168,C068,P0138,10-12-2021,1456,0.35
OD0169,C069,P0138,28-01-2021,1478,0.55
OD0170,C070,P0139,23-10-2021,256,0.55
OD0171,C071,P0140,06-01-2022,2698,0.55
OD0172,C072,P0141,15-06-2021,2364,0.55
OD0173,C073,P0142,01-01-2021,1236,0.5
OD0174,C074,P0143,05-03-2021,756,0.5
OD0175,C075,P0144,15-08-2021,326,0.5
OD0176,C076,P0145,10-11-2022,453,0.5
OD0177,C077,P0146,24-02-2022,326,0.5
OD0178,C078,P0147,07-01-2021,456,0.3
OD0179,C079,P0148,15-07-2021,456,0.32
OD0180,C080,P0149,26-02-2022,456,0.25
OD0181,C081,P0150,25-08-2021,456,0.45
OD0182,C082,P0151,04-03-2021,236,0.15
OD0183,C083,P0152,28-05-2022,996,0.33
OD0184,C084,P0153,14-12-2021,654,0.42
OD0185,C085,P0154,30-08-2022,456,0.42
OD0186,C086,P0155,30-03-2022,785,0.39
OD0187,C087,P0156,24-03-2023,365,0.39
OD0188,C088,P0157,07-08-2021,965,0.39
OD0189,C089,P0158,17-03-2022,444,0.39
OD0190,C090,P0159,25-06-2021,569,0.3
OD0191,C091,P0160,26-06-2022,475,0.3
OD0192,C092,P0161,25-08-2021,598,0.3
OD0193,C093,P0162,02-10-2022,536,0.25
OD0194,C094,P0163,30-04-2022,256,0.25
OD0195,C095,P0164,27-05-2021,456,0.3
OD0196,C096,P0165,21-02-2022,456,0.3
OD0197,C097,P0166,31-07-2021,745,0.3
OD0198,C098,P0167,17-06-2021,356,0.4
OD0199,C099,P0168,01-06-2022,1189,0.4
OD0200,C100,P0168,01-09-2022,426,0.4
OD0201,C001,P0168,22-05-2021,1126,0.4
OD0202,C002,P0168,02-04-2021,1145,0.4
OD0203,C003,P0169,22-06-2022,1235,0.4
OD0204,C004,P0170,08-12-2021,1564,0.45
OD0205,C005,P0171,21-02-2023,654,0.45
OD0206,C006,P0172,22-01-2023,854,0.45
OD0207,C007,P0173,08-06-2022,475,0.47
OD0208,C008,P0174,05-02-2023,349,0.47
OD0209,C009,P0175,26-12-2021,350,0.46
OD0210,C010,P0176,18-05-2021,351,0.46
OD0211,C011,P0177,11-09-2022,352,0.46
OD0212,C012,P0178,02-09-2022,353,0.3
OD0213,C013,P0179,01-04-2021,354,0.3
OD0214,C014,P0180,02-09-2021,355,0.3
OD0215,C015,P0181,24-10-2021,356,0.3
OD0216,C016,P0182,12-02-2023,999,0.3
OD0217,C017,P0183,14-01-2023,555,0.35
OD0218,C018,P0184,01-06-2021,555,0.35
OD0219,C019,P0185,03-03-2022,555,0.35
OD0220,C020,P0186,25-01-2021,555,0.35
OD0221,C021,P0187,05-05-2022,1025,0.35
OD0222,C022,P0188,14-01-2021,1025,0.35
OD0223,C023,P0188,17-03-2023,1025,0.4
OD0224,C024,P0188,23-12-2022,555,0.4
OD0225,C025,P0189,01-12-2022,599,0.15
OD0226,C026,P0190,02-05-2022,555,0.15
OD0227,C027,P0191,26-08-2022,555,0.15
OD0228,C028,P0192,24-04-2022,2245,0.35
OD0229,C029,P0193,08-02-2022,2256,0.35
